4408,TURN_90,181,178.00,166.49,181.00,180.92,-38.22,-38.13,-38.35,-38.22,-36.55,-41.81,-40.71,-39.64,-41.81,-41.86
4465,TURN_90,189,185.00,172.10,189.00,188.00,-38.06,-38.06,-37.59,-38.06,-36.29,-43.91,-42.80,-41.74,-43.91,-43.93
4524,TURN_90,195,191.00,178.67,195.00,194.75,-38.05,-38.05,-37.24,-38.05,-36.36,-46.01,-44.92,-43.83,-46.01,-46.00
4582,TURN_90,205,200.00,186.99,205.00,203.67,-39.42,-38.05,-37.70,-39.42,-37.59,-48.20,-47.08,-45.97,-48.20,-48.16
4639,TURN_90,217,208.00,196.84,217.00,214.00,-40.15,-40.15,-39.34,-40.15,-40.60,-50.56,-49.39,-48.24,-50.56,-50.47
4698,TURN_90,228,218.00,207.78,228.00,225.58,-38.40,-39.68,-39.16,-38.40,-40.39,-52.80,-51.70,-50.55,-52.80,-52.80
4756,TURN_90,244,239.00,222.95,244.00,242.33,-41.40,-41.40,-40.73,-41.40,-41.89,-55.26,-54.07,-52.93,-55.26,-55.21
4813,TURN_90,268,253.00,241.65,268.00,263.08,-42.44,-41.60,-41.44,-42.44,-42.14,-57.69,-56.45,-55.36,-57.69,-57.64
4872,TURN_90,290,273.00,263.28,290.00,286.00,-40.18,-42.44,-41.43,-40.18,-42.39,-60.11,-58.94,-57.81,-60.11,-60.11
4930,TURN_90,315,300.00,288.77,315.00,311.42,-41.40,-41.40,-41.62,-41.40,-41.48,-62.53,-61.33,-60.24,-62.53,-62.54
4987,TURN_90,339,329.00,315.85,339.00,339.33,-39.56,-39.56,-40.42,-39.56,-39.55,-64.77,-63.64,-62.56,-64.77,-64.85
5046,TURN_90,379,361.00,349.57,379.00,374.42,-40.44,-39.98,-40.32,-40.44,-39.33,-67.10,-65.94,-64.86,-67.10,-67.12
5104,TURN_90,439,398.00,396.82,439.00,422.50,-43.85,-40.44,-40.94,-43.85,-41.23,-69.53,-68.26,-67.20,-69.53,-69.46
